ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789892534,10289.766,10289.766,0,0,20.2887,10.1444
1789896049,10289.766,10289.766,0,0,20.2887,10.1444
1789899642,10289.766,10289.766,0,0,20.2887,10.1444
1789903225,10289.766,10289.766,0,0,20.2887,10.1444
1789907133,10289.766,10289.766,0,0,20.2887,10.1444
1789910461,10289.766,10289.766,0,0,20.2887,10.1444
1789914066,10289.766,10289.766,0,0,20.2887,10.1444
1789917642,10289.766,10289.766,0,0,20.2887,10.1444
1789921304,10289.766,10289.766,0,0,20.2887,10.1444
1789924784,10289.766,10289.766,0,0,20.2887,10.1444
1789928573,10289.766,10289.766,0,0,20.2887,10.1444
1789931907,10289.766,10289.766,0,0,20.2887,10.1444
1789935638,10289.766,10289.766,0,0,20.2887,10.1444
1789939224,10289.766,10289.766,0,0,20.2887,10.1444
1789942850,10289.766,10289.766,0,0,20.2887,10.1444
1789946386,10289.766,10289.766,0,0,20.2887,10.1444
1789950571,10289.766,10289.766,0,0,20.2887,10.1444
1789953663,10289.766,10289.766,0,0,20.2887,10.1444
1789957347,10289.766,10289.766,0,0,20.2887,10.1444
1789960978,10289.766,10289.766,0,0,20.2887,10.1444
1789964598,10289.766,10289.766,0,0,20.2887,10.1444
1789968130,10289.766,10289.766,0,0,20.2887,10.1444
1789972171,10289.766,10289.766,0,0,20.2887,10.1444
1789975440,10289.766,10289.766,0,0,20.2887,10.1444
1789979060,10289.766,10289.766,0,0,20.2887,10.1444
1789982611,10289.766,10289.766,0,0,20.2887,10.1444
1789986158,10289.766,10289.766,0,0,20.2887,10.1444
1789989754,10289.766,10289.766,0,0,20.2887,10.1444
1789993545,10289.766,10289.766,0,0,20.2887,10.1444
1789996922,10289.766,10289.766,0,0,20.2887,10.1444
1790000581,10289.766,10289.766,0,0,20.2887,10.1444
1790004041,10289.766,10289.766,0,0,20.2887,10.1444
1790007770,10289.766,10289.766,0,0,20.2887,10.1444
1790011165,10289.766,10289.766,0,0,20.2887,10.1444
1790015065,10289.766,10289.766,0,0,20.2887,10.1444
1790018471,10289.766,10289.766,0,0,20.2887,10.1444
1790022113,10289.766,10289.766,0,0,20.2887,10.1444
1790025679,10289.766,10289.766,0,0,20.2887,10.1444
1790029293,10289.766,10289.766,0,0,20.2887,10.1444
1790032868,10289.766,10289.766,0,0,20.2887,10.1444
1790036883,10289.766,10289.766,0,0,20.2887,10.1444
1790039987,10289.766,10289.766,0,0,20.2887,10.1444
1790043736,10289.766,10289.766,0,0,20.2887,10.1444
1790047348,10289.766,10289.766,0,0,20.2887,10.1444
1790050951,10289.766,10289.766,0,0,20.2887,10.1444
1790054477,10289.766,10289.766,0,0,20.2887,10.1444
1790058437,10289.766,10289.766,0,0,20.2887,10.1444
1790061741,10289.766,10289.766,0,0,20.2887,10.1444
1790065424,10289.766,10289.766,0,0,20.2887,10.1444
1790068913,10289.766,10289.766,0,0,20.2887,10.1444
1790072596,10289.766,10289.766,0,0,20.2887,10.1444
1790076092,10289.766,10289.766,0,0,20.2887,10.1444
1790080002,10289.766,10289.766,0,0,20.2887,10.1444
